Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-04-19,42.71077829219507,42.71077829219507,42.15049759471428,42.348751068115234,1782600,0.0,0
2018-04-20,42.305650146620856,42.36598801314738,41.77122434571864,41.935001373291016,1285100,0.0,0
2018-04-23,42.029813540390315,42.0729148327237,41.78846208652475,41.96085739135742,2461100,0.0,0
2018-04-24,42.12463498342492,42.141874844305015,41.26266166842366,41.55573272705078,2965900,0.0,0
2018-04-25,41.55573165240834,41.857424277757275,41.33162004309719,41.77122497558594,2309200,0.0,0
2018-04-26,41.840185192217014,42.20221240354,41.72812774140251,42.11601638793945,1182900,0.0,0
2018-04-27,42.09877865046226,42.23669425527933,41.9953427688913,42.184974670410156,566300,0.0,0
2018-04-30,42.26254823177935,42.36598739130694,41.788463592529304,41.7884635925293,922300,0.0,0
2018-05-01,41.62469563158204,41.62469563158204,41.150610926545596,41.56435775756836,1433200,0.0,0
2018-05-02,41.460923748429,41.55574135888113,41.07303830664187,41.14199447631836,6183700,0.0,0
2018-05-03,40.99544569972618,41.167837705508965,40.581698967147375,41.038543701171875,3783700,0.0,0
2018-05-04,40.90064038250089,41.70227594469291,40.76272476363816,41.581600189208984,793500,0.0,0
2018-05-07,41.69364280400965,41.710882662606494,41.417811642793765,41.529869079589844,808000,0.0,0
2018-05-08,41.46090964520247,41.54710893818669,41.262656203588975,41.529869079589844,667400,0.0,0
2018-05-09,41.57296903970586,41.90051979213693,41.478151457041584,41.805702209472656,632100,0.0,0
2018-05-10,41.99533993615568,42.26254955287036,41.96947850138184,42.22807312011719,825100,0.0,0
2018-05-11,42.30564084054812,42.4866544003097,42.23668141502006,42.40907669067383,649300,0.0,0
2018-05-14,42.59871850584403,42.67629623363892,42.49528263150656,42.58148193359375,683600,0.0,0
2018-05-15,42.39185068340819,42.409090545422345,42.202215489419935,42.32289123535156,857600,0.0,0
2018-05-16,42.37460733690216,42.719397972497994,42.37460733690216,42.62458038330078,506400,0.0,0
2018-05-17,42.641814392472796,42.87454754633863,42.555615101318736,42.702152252197266,470100,0.0,0
2018-05-18,42.65043462457301,42.67629276901633,42.478039322561486,42.57285690307617,578000,0.0,0
2018-05-21,42.779739887487786,43.055571106791355,42.779739887487786,42.9693717956543,661200,0.0,0
2018-05-22,43.06418281407078,43.14176053815733,42.719395486704926,42.75387191772461,517600,0.0,0
2018-05-23,42.5556236607614,42.8400764465332,42.42632963027482,42.8400764465332,476800,0.0,0
2018-05-24,42.762491007806744,42.8400687273873,42.49527813188111,42.78834915161133,430000,0.0,0
2018-05-25,42.70215562711159,42.831449641811155,42.63319618873821,42.75387191772461,390500,0.0,0
2018-05-29,42.495286726553786,42.64182391013945,42.18497578547118,42.42633056640625,688500,0.0,0
2018-05-30,42.650453108140375,43.115919638842186,42.60735508600168,43.029720306396484,765600,0.0,0
2018-05-31,42.9521374370479,42.9521374370479,42.443572983694,42.538387298583984,1256900,0.0,0
2018-06-01,42.788352696179246,43.02970416012694,42.788352696179246,42.94350814819336,743500,0.0,0
2018-06-04,43.09004008126583,43.27105365724364,43.09004008126583,43.16761779785156,553400,0.0,0
2018-06-05,43.20210530890361,43.30554448299937,43.09866942297538,43.27106475830078,384400,0.0,0
2018-06-06,43.37448770237317,43.53826141357422,43.22795384837749,43.53826141357422,448800,0.0,0
2018-06-07,43.60721979120295,43.814094784513735,43.57274007762341,43.658939361572266,473700,0.0,0
2018-06-08,43.581373231651575,43.85720443725585,43.581373231651575,43.85720443725586,376100,0.0,0
2018-06-11,43.88305203636701,44.055447320470144,43.83995403738287,43.943389892578125,401900,0.0,0
2018-06-12,44.01235865102344,44.046835084618984,43.84858161673381,43.96925735473633,618200,0.0,0
2018-06-13,44.00372843060519,44.00372843060519,43.69341757204475,43.73651885986328,382600,0.0,0
2018-06-14,43.87443443164941,43.90029257380725,43.667559429886914,43.73651885986328,409600,0.0,0
2018-06-15,43.61585425123946,43.90030706151543,43.51241836030624,43.891685485839844,519000,0.0,0
2018-06-18,43.64171033884046,43.73652793063945,43.35725756344352,43.512413024902344,466300,0.0,0
2018-06-19,43.15899722311033,43.460686523385014,43.1417573647851,43.40034866333008,522000,0.0,0
2018-06-20,43.52103621032524,43.52103621032524,43.279681434585534,43.39173889160156,375700,0.0,0
2018-06-21,43.426214624729624,43.51241063718021,43.13314357896366,43.1934814453125,387700,0.0,0
2018-06-22,43.443458476724516,43.546894358803016,43.38312060483144,43.39173889160156,364300,0.0,0
2018-06-25,43.23657758712855,43.27967559149541,42.80559096712601,43.06418228149414,676200,0.0,0
2018-06-26,43.06940888991489,43.130241121452684,42.92167110253168,42.96512222290039,535000,0.406,0
2018-06-27,43.00856421476732,43.26927417665672,42.64356761603653,42.652259826660156,517800,0.0,0
2018-06-28,42.55666901377737,42.90428122077542,42.52190679854537,42.817378997802734,854500,0.0,0
2018-06-29,42.93035701308398,43.14761589813985,42.826070361379756,42.83476257324219,489700,0.0,0
2018-07-02,42.57405034630753,42.791309219994304,42.452382592352784,42.765235900878906,1170800,0.0,0
2018-07-03,42.912966581275874,43.04331989492458,42.63487553403049,42.687015533447266,349100,0.0,0
2018-07-05,42.8695247494767,43.13892364501953,42.76523809787222,43.13892364501953,723600,0.0,0
2018-07-06,43.12155238440392,43.434405780450994,43.017269024090986,43.32143020629883,435300,0.0,0
2018-07-09,43.47784857468933,43.65165635198439,43.399635240661944,43.590824127197266,535600,0.0,0
2018-07-10,43.721176712360425,43.97319448507699,43.721176712360425,43.94712448120117,585300,0.0,0
2018-07-11,43.75593473728534,43.75593473728534,43.50391696960964,43.55605697631836,474900,0.0,0
2018-07-12,43.773319244384766,43.87760589611652,43.68641701638247,43.773319244384766,528300,0.0,0
2018-07-13,43.782010409313614,44.02533929398745,43.782010409313614,43.95581817626953,406400,0.0,0
2018-07-16,43.9558199841281,43.97319777794174,43.79070110693046,43.83415222167969,429400,0.0,0
2018-07-17,43.755934272004595,44.01664756320485,43.755934272004595,43.96450424194336,421000,0.0,0
